Variable Position	Variable Name	Code	Label
25	indus10	6180	Bus service and urban transit
25	indus10	6170	Truck transportation
25	indus10	6090	Water transportation
25	indus10	6080	Rail transportation
25	indus10	6070	Air transportation
25	indus10	5790	Not specified retail trade
25	indus10	5690	Other direct selling establishments
25	indus10	5680	Fuel dealers
25	indus10	5670	Vending machine operators
25	indus10	5592	Mail order houses
25	indus10	5591	Electronic auctions
25	indus10	5590	Electronic shopping
25	indus10	5580	Miscellaneous retail stores
25	indus10	5570	Gift  novelty  and souvenir shops
25	indus10	5490	Used merchandise stores
25	indus10	5480	Office supplies and stationery stores
25	indus10	5470	Retail florists
25	indus10	5390	Miscellaneous general merchandise stores
25	indus10	5380	Department stores and discount stores
25	indus10	5370	Book stores and news dealers
25	indus10	5290	Music stores
25	indus10	5280	Sewing  needlework  and piece goods stores
25	indus10	5270	Sporting goods  camera  and hobby and toy stores
25	indus10	5190	Jewelry  luggage  and leather goods stores
25	indus10	5180	Shoe stores
25	indus10	5170	Clothing stores
25	indus10	5090	Gasoline stations
25	indus10	5080	Health and personal care  except drug  stores
25	indus10	5070	Pharmacies and drug stores
25	indus10	4990	Beer  wine  and liquor stores
25	indus10	4980	Specialty food stores
25	indus10	4970	Grocery stores
25	indus10	4890	Lawn and garden equipment and supplies stores
25	indus10	4880	Hardware stores
25	indus10	4870	Building material and supplies dealers
25	indus10	4790	Radio  tv  and computer stores
25	indus10	4780	Household appliance stores
25	indus10	4770	Furniture and home furnishings stores
25	indus10	4690	Auto parts  accessories  and tire stores
25	indus10	4680	Other motor vehicle dealers
25	indus10	4670	Automobile dealers
25	indus10	4590	Not specified wholesale trade
25	indus10	4585	Wholesale electronic markets  agents and brokers
25	indus10	4580	Miscellaneous nondurable goods  merchant wholesalers
25	indus10	4570	Farm supplies  merchant wholesalers
25	indus10	4560	Alcoholic beverages  merchant wholesalers
25	indus10	4490	Petroleum and petroleum products  merchant wholesalers
25	indus10	4480	Farm product raw materials  merchant wholesalers 
25	indus10	4470	Groceries and related products  merchant wholesalers
25	indus10	4390	Apparel  fabrics  and notions  merchant wholesalers
25	indus10	4380	Drugs  sundries  and chemical and allied products  merchant wholesalers
25	indus10	4370	Paper and paper products  merchant wholesalers
25	indus10	4290	Miscellaneous durable goods  merchant wholesalers
25	indus10	4280	Recyclable material  merchant wholesalers
25	indus10	4270	Machinery  equipment  and supplies  merchant wholesalers
25	indus10	4260	Hardware  plumbing and heating equipment  and supplies  merchant wholesalers
25	indus10	4190	Electrical and electronic goods  merchant wholesalers
25	indus10	4180	Metals and minerals  except petroleum  merchant wholesalers
25	indus10	4170	Professional and commercial equipment and supplies  merchant wholesalers
25	indus10	4090	Lumber and other construction materials  merchant wholesalers
25	indus10	4080	Furniture and home furnishing  merchant wholesalers
25	indus10	4070	Motor vehicles  parts and supplies  merchant wholesalers
25	indus10	3990	Not specified manufacturing industries
25	indus10	3980	Miscellaneous manufacturing  n e c 
25	indus10	3970	Sporting and athletic goods  and doll  toy and game manufacturing
25	indus10	3960	Medical equipment and supplies manufacturing
25	indus10	3890	Furniture and related product manufacturing
25	indus10	3870	Miscellaneous wood products
25	indus10	3790	Prefabricated wood buildings and mobile homes
25	indus10	3780	Veneer  plywood  and engineered wood products
25	indus10	3770	Sawmills and wood preservation
25	indus10	3690	Other transportation equipment manufacturing
25	indus10	3680	Ship and boat building
25	indus10	3670	Railroad rolling stock manufacturing
25	indus10	3590	Aerospace product and parts manufacturing
25	indus10	3580	Aircraft and parts manufacturing
25	indus10	3570	Motor vehicles and motor vehicle equipment manufacturing
25	indus10	3490	Electrical lighting and electrical equipment manufacturing  and other electrical component manufacturing  n e c 
25	indus10	3470	Household appliance manufacturing
25	indus10	3390	Electronic component and product manufacturing  n e c 
25	indus10	3380	Navigational  measuring  electromedical  and control instruments manufacturing
25	indus10	3370	Communications  and audio and video equipment manufacturing        
25	indus10	3360	Computer and peripheral equipment manufacturing    
25	indus10	3290	Not specified machinery manufacturing        
25	indus10	3190	Machinery manufacturing  n e c     
25	indus10	3180	Engines  turbines  and power transmission equipment manufacturing      
25	indus10	3170	Metalworking machinery manufacturing   
25	indus10	3090	Commercial and service industry machinery manufacturing
25	indus10	3080	Construction  and mining and oil and gas field machinery manufacturing    
25	indus10	3070	Agricultural implement manufacturing
25	indus10	2990	Not specified metal industries
